symbol,direction,entry_time,entry_price,sl,target1,target2,rr1,outcome,exit_price,exit_time,pnl_pts
NIFTY,BUY,2026-01-27 15:00:00+05:30,25170.4,25094.89,25321.42,25472.45,2.0,T1_HIT,25321.42,2026-01-28 09:15:00+05:30,151.02
NIFTY,SELL,2026-01-29 09:45:00+05:30,25184.85,25260.4,25033.74,24882.63,2.0,SL_HIT,25260.4,2026-01-29 11:15:00+05:30,-75.55
NIFTY,BUY,2026-01-29 11:30:00+05:30,25269.45,25193.64,25421.07,25572.68,2.0,T1_HIT,25421.07,2026-01-29 13:45:00+05:30,151.62
NIFTY,SELL,2026-01-30 10:15:00+05:30,25279.6,25355.44,25127.92,24976.24,2.0,SL_HIT,25355.44,2026-01-30 14:00:00+05:30,-75.84
NIFTY,SELL,2026-02-04 11:30:00+05:30,25717.35,25794.5,25563.05,25408.74,2.0,SL_HIT,25794.5,2026-02-04 14:15:00+05:30,-77.15
NIFTY,SELL,2026-02-05 09:30:00+05:30,25635.15,25712.06,25481.34,25327.53,2.0,OPEN,25570.25,2026-02-06 13:15:00+05:30,64.9
NIFTY,BUY,2026-02-06 14:00:00+05:30,25612.3,25535.46,25765.97,25919.65,2.0,T1_HIT,25765.97,2026-02-09 09:15:00+05:30,153.67
NIFTY,SELL,2026-02-11 12:30:00+05:30,25911.2,25988.93,25755.73,25600.26,2.0,T1_HIT,25755.73,2026-02-12 14:45:00+05:30,155.47
NIFTY,BUY,2026-02-16 12:15:00+05:30,25576.05,25499.32,25729.51,25882.96,2.0,T1_HIT,25729.51,2026-02-17 10:30:00+05:30,153.46
NIFTY,SELL,2026-02-18 10:15:00+05:30,25665.35,25742.35,25511.36,25357.37,2.0,SL_HIT,25742.35,2026-02-18 13:15:00+05:30,-77.0
NIFTY,SELL,2026-02-19 11:00:00+05:30,25715.8,25792.95,25561.51,25407.21,2.0,T1_HIT,25561.51,2026-02-19 14:00:00+05:30,154.29
NIFTY,BUY,2026-02-20 11:45:00+05:30,25598.15,25521.36,25751.74,25905.33,2.0,T1_HIT,25751.74,2026-02-23 09:15:00+05:30,153.59
NIFTY,SELL,2026-02-23 14:00:00+05:30,25629.85,25706.74,25476.07,25322.29,2.0,SL_HIT,25706.74,2026-02-23 14:30:00+05:30,-76.89
